billing_code,place,tariff_value,extra_unit_value,unit_require,description,source_file,top_level,level1_group,level2_group,leaf,indicators,anchor_id
9099,cabinet,206.55,,FALSE,1.5 Rémunération lors d'un déplacement d'urgence de nuit,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,1. Règles générales de rémunération,,1.5 Rémunération lors d'un déplacement d'urgence de nuit,,90406
9099,établissement,208.6,,FALSE,1.5 Rémunération lors d'un déplacement d'urgence de nuit,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,1. Règles générales de rémunération,,1.5 Rémunération lors d'un déplacement d'urgence de nuit,,90406
8844,all,5.01,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15259,all,2.01,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15652,all,2.01,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15620,all,2.02,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15628,all,2.03,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15630,all,2.03,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15631,all,2.03,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
8953,all,2.04,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
