context_code,label,end_date,is_active,references
11,Sans rendez-vous - clinique réseau,,TRUE,
12,Forfait de garde sur place réclamé en raison d’un transfert ambulancier,,TRUE,
13,Pour déterminer l'aptitude de l'accusé à subir son procès.,,TRUE,
14,Pour déterminer si l’accusé était atteint de troubles mentaux de nature à ne pas engager sa responsabilité criminelle,,TRUE,
15,Pour déterminer la décision qui devrait être prise dans le cas où un verdict d’inaptitude à subir son procès ou de non-responsabilité criminelle pour cause de troubles mentaux a été rendu à l’égard de l’accusé,,TRUE,
16,"Pour déterminer si l'accusé inculpé d'une infraction liée à la mort de son enfant nouveau-né, était mentalement déséquilibré au moment de la perpétration de l'infraction",,TRUE,
17,"Pour déterminer si une ordonnance de suspension d’instance devrait être rendue en vertu de l’article 672.851 du Code criminel, dans le cas où un verdict d’inaptitude à subir son procès a été rendu à l’égard de l’accusé",,TRUE,
18,Sans rendez-vous - GMF désigné réseau (GMF-R),2022-05-31,FALSE,GMF
21,Soins simultanés selon l'EP - Soins intensifs ou coronariens,,TRUE,EP
24,Réduction mammaire d’au moins 150 grammes,2019-03-29,FALSE,
25,Réduction mammaire d’au moins 250 grammes par sein,2019-03-29,FALSE,
40,Patient hospitalisé,,TRUE,
70,Soins d'urgence,,TRUE,
75,Service médical immédiatement requis,,TRUE,
85,Séance différente,,TRUE,
87,Séjour différent à la salle d'urgence,,TRUE,
100,Le travailleur ne s'est pas présenté au rendez-vous fixé par le centre administratif du ministère du Travail ou par la Commission,,TRUE,
110,Remplaçant au cours d'une anesthésie,,TRUE,
200,Garde en disponibilité,,TRUE,
210,Garde sur place,,TRUE,
220,"Soins immédiatement requis, dispensés car non-disponibilité temporaire du médecin responsable",,TRUE,
230,N'assume pas la responsabilité du patient,,TRUE,
310,GMF - service sans rendez-vous,,TRUE,GMF
440,Traitement physiatrique supplémentaire,,TRUE,
450,Déplacement pour prélèvement d'organes,,TRUE,
480,Post mastectomie,,TRUE,
500,"Médecin adhérant au mode mixte avec honoraires fixes dans cet établissement ayant choisi la rémunération selon les modalités générales du mode mixte (anx XXIII, par 2.15)",,TRUE,
510,Droit acquis en sans rendez-vous,,TRUE,
